Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.000,20.585,2.912,8.431,21.290,29.713,40.268,45.685,99.121,99.121,0.049
5,27.200,10.218,2.792,3.422,3.770,11.600,31.199,35.280,39.092,56.401,0.098
10,19.600,17.993,2.949,3.739,20.166,30.966,34.806,36.608,38.794,38.794,0.056
15,19.000,12.550,2.885,3.371,6.480,19.440,33.385,37.242,59.133,59.133,0.080
20,17.000,17.521,3.001,4.539,11.078,31.626,36.054,38.155,43.392,43.392,0.057
25,27.400,7.942,2.852,3.312,3.675,5.236,28.733,31.522,36.744,43.045,0.126
30,29.800,11.188,2.479,3.206,3.675,18.655,32.631,36.575,44.294,45.152,0.089
35,21.200,14.791,2.805,3.637,10.843,27.245,34.503,37.648,39.867,49.177,0.068
40,24.200,16.395,2.669,3.507,10.347,29.950,36.795,39.330,43.951,48.563,0.061
45,17.600,15.993,2.903,3.835,10.304,31.593,35.112,38.179,55.460,55.460,0.063
50,19.000,16.388,2.818,3.762,10.800,30.294,36.109,40.919,42.515,42.515,0.061
55,18.600,17.025,2.882,3.797,10.925,29.212,34.331,39.126,83.731,83.731,0.059
